,name,album,artist,release date,length,popularity,lyrics
0,Say You'll Haunt Me,Audio Secrecy,Stone Sour,2010-01-09,264373,56,"

[Verse 1]
Little supernovas in my head
Little soft pulses in my dead
Little souvenirs and secrets shared
A little off-guard and unprepared
I was never good enough to find
I was never bad enough to mind
In the middle, I will do my best
Take me in your arms and leave the rest

[Pre-Chorus]
I will give you anything to...

[Chorus 1]
Say you wanna stay—you want me, too
Say you'll never die—you'll always haunt me
I want to know that I belong to you
Say you'll haunt me

[Post-Chorus]
Together—together—we'll be together
Together—forever...

[Verse 2]
Little variations on my page
Little doors open on my cage
Little time has come and gone so far
Little by little, who you are
I can see the patterns on your face
I can see the miracles I trace
Symmetry and shadows, I can't hide
I just want to be right by your side

[Pre-Chorus]
I will give you everything to...

[Chorus 2]
Say you wanna stay—you want me, too
Say you'll never die—you'll always haunt me
I want to know that I belong to you
Say you'll haunt me
Say you wanna stay—you want me, too
Say you'll never die—you'll always haunt me
I want to know that I belong to you
Say you'll haunt me

[Post-Chorus]
Together—together—we'll be together
Together—forever—I belong to you
Together—we'll be together
Together—forever—I belong to you

[Solo]

[Bridge]
Little supernovas in my head
Little soft pulses in my dead
Little souvenirs and secrets shared
A little off-guard and unprepared

[Pre-Chorus]
I will give you anything to—
I will give you everything to...

[Chorus 2]
Say you wanna stay—you want me, too
Say you'll never die—you'll always haunt me
I want to know that I belong to you
Say you'll haunt me
Say you wanna stay—you want me, too
Say you'll never die—you'll always haunt me
I want to know that I belong to you
Say you'll haunt me

[Post-Chorus/Outro]
Together—together—we'll be together
Together—forever—I belong to you
Together—we'll be together
Together—forever—I belong to you

"
1,Young Blood,"Passive Me, Aggressive You",The Naked And Famous,2010,246600,66,"

[Verse 1]
We're only young and naive still
We require certain skills
The mood it changes like the wind
Hard to control when it begins

[Chorus]
The bittersweet between my teeth
Trying to find the in-betweens
Fall back in love eventually
Yeah, yeah, yeah, yeah

[Verse 2]
Can't help myself but count the flaws
Claw my way out through these walls
One temporary escape
Feel it start to permeate

We lie beneath the stars at night
Our hands gripping each other tight
You keep my secrets hope to die
Promises, swear them to the sky

[Chorus]
The bittersweet between my teeth
Trying to find the in-betweens
Fall back in love eventually
Yeah, yeah, yeah, yeah

[Bridge: Thom Powers]
As it withers, brittle it shakes
Can you whisper, as it crumbles and breaks?
As you shiver, count up all your mistakes
Pair of forgivers, let go before it's too late
Can you whisper? Can you whisper?
Can you whisper? Can you whisper?

[Chorus]
The bittersweet between my teeth
Trying to find the in-betweens
Fall back in love eventually
Yeah, yeah, yeah, yeah

(Can you whisper?)
The bittersweet between my teeth
(Can you whisper?)
Trying to find the in-betweens
(Can you whisper?)
Fall back in love eventually
(Can you whisper?)
Yeah, yeah, yeah, yeah

"
2,A Warrior's Call,Beyond Hell / Above Heaven,Volbeat,2010-01-01,263080,61,"

[Intro]
Let's get ready to rumble

[Verse 1]
Feel the fire, he's entering the ring
His mindset only know how to win
This Danish fighter will break you in two
You will feel all his power

[Pre-Chorus]
The Viking warrior Mikkel Kessler will now brand his name
In the back of your head, you'll feel the floor again
Unleashing his Hell, you will not even hear the bell
Maybe you're strong, but you don't stand chance

[Chorus 1]
Feel the power of a warrior
Fight, fight, fight, fight
Let's get ready to rumble
Fight, fight, fight, fight

[Verse 2]
Breaking your record and breaking your bones
Born a warrior with a code
A champion feeding your face with a fist
You will feel all his power

[Pre-Chorus]
The Viking warrior Mikkel Kessler will now brand his name
In the back of your head, you'll feel the floor again
Unleashing his Hell, you will not even hear the bell
Maybe you're strong, but you don't stand chance

[Chorus 2]
Feel the power of a warrior
Fight, fight, fight, fight
Let's get ready to rumble
Fight, fight, fight, fight
A gladiator's left-hand hook
Fight, fight, fight, fight
Feel the pain tomorrow

[Bridge]
Behold, here comes the son
Believe it, he was born to be the chosen one
The call is for a warrior
His name will echo on the sea and on the ground

[Verse 3]
Feel the fire, he's entering the ring
His mindset only know how to win
This Danish fighter will break you in two
You will feel all his power

[Pre-Chorus]
The Viking warrior Mikkel Kessler will now brand his name
In the back of your head, you'll feel the floor again
Unleashing his Hell, you will not even hear the bell
Maybe you're strong, but you don't stand chance

[Chorus 2]
Feel the power of a warrior
Fight, fight, fight, fight
Let's get ready to rumble
Fight, fight, fight, fight
A gladiator's left-hand hook
Fight, fight, fight, fight
Feel the pain tomorrow

[Outro]
Behold, here comes the son
Believe it, he was born to be the chosen one
The call is for a warrior
His name will echo on the sea and on the ground

"
3,Animal,Habits (Spotify),Neon Trees,2010,212306,64,"

[Verse 1]
Here we go again
I kinda wanna be more than friends
So take it easy on me
I'm afraid you're never satisfied
Here we go again
We're sick like animals
We play pretend
You're just a cannibal
And I'm afraid I won't get out alive
No, I won't sleep tonight

[Chorus]
Oh, oh
I want some more
Oh, oh
What are you waiting for
Take a bite of my heart tonight
Oh, oh
I want some more
Oh, oh
What are you waiting for
What are you waiting for
Say goodbye to my heart tonight

[Verse 2]
Here we are again
I feel the chemicals kickin' in
It's getting heavy
And I wanna run and hide
I wanna run and hide
I do it every time
You're killin' me now
And I won't be denied by you
The animal inside of you

[Chorus]
Oh, oh
I want some more
Oh, oh
What are you waiting for
Take a bite of my heart tonight
Oh, oh
I want some more
Oh, oh
What are you waiting for
What are you waiting for
Say goodbye to my heart tonight

[Bridge]
Hush, hush the world is quiet
Hush, hush we both can't fight it
It's us that made this mess
Why can't you understand?
Whoa, I won't sleep tonight

Here we go again
Here we go again
Here we go again

Oh oh
I want some more
Oh oh
What are you waiting for?
Take a bite of my heart tonight
Oh oh
I want some more
Oh oh
What are you waiting for
What are you waiting for
What are you waiting

Here we go again
Here we go again
Here we go again
Take a bite of my heart tonight

Oh oh
I want some more
Oh oh
What are you waiting for
What are you waiting for
Say goodbye to my heart tonight

"
4,Howlin' for You,Brothers,The Black Keys,2010-05-17,191800,1,"

[Intro]
Alright
Yeah
Well now

[Verse 1]
I must admit, I can't explain
Any of these thoughts racin' through my brain, it's true
A-baby, I'm howlin' for you

[Verse 2]
Alright
There's something wrong with this plot
The actors here have not got a clue
Baby, I'm howlin' for you

[Chorus]
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da

[Verse 3]
Mockingbird, can't you see
Little girl's got a hold on me, like glue
Baby, I'm howlin' for you

[Verse 4]
Yeah
Throw the ball, to the stick
Swing and miss and catcher's mitt, strike two
Baby I'm howlin' for you
Yeah
Yeah

[Chorus]
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da

[Outro]
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da
Da-da da-da da, da-da da-da da

"
5,Burn,Time For Annihilation: On the Record & On the Road,Papa Roach,2010-08-31,205746,49,"

[Verse 1]
I did not know you were a fake
Every lie straight to my face
So blind I could not see
Right behind my back you stabbed me
Should have know you were a bitch
Shut up you are making me sick
Little man you are nothing like me
Lying cheating so deceiving
I trusted you broke me down
And you screwed me over

[Chorus]
Do not try to deny it
You cannot hide it
Ill be ignited
When I get to watch you burn
Burn Burn
I want to watch you burn
Burn Burn
I want to watch you burn
You are going to get what you deserve
I want to watch you burn

[Verse 2]
You turn me inside out
My world is upside down
You are not hurt are you happy now
Looking over your shoulder fucking me over
I trusted you sold me out
This is far from over

[Chorus]
Do not try to deny it
You cannot hide it
Ill be ignited
When I get to watch you burn
Burn Burn
I want to watch you burn
Burn Burn
I want to watch you burn
Burn
I want to watch you burn
You are going to get what you deserve
You will never learn

"
6,Make Me Wanna Die,Light Me Up,The Pretty Reckless,2010-01-01,235653,60,"

[Verse 1]
Take me, I'm alive
Never was a girl with a wicked mind
But everything looks better
When the sun goes down

[Pre-Chorus 1]
I had everything
Opportunities for eternity
And I could belong to the night
Your eyes, your eyes
I can see in your eyes, your eyes

[Chorus]
You make me wanna die
I'll never be good enough
You make me wanna die
And everything you love
Will burn up in the light
Every time I look inside your eyes
You make me wanna die

[Verse 2]
Taste me, drink my soul
Show me all the things that I shouldn't know
And there's a blue moon on the rise

[Pre-Chorus 2]
I had everything
Opportunities for eternity
And I could belong to the night
Your eyes, your eyes
I can see in your eyes, your eyes
Everything in your eyes, your eyes

[Chorus]
You make me wanna die
I'll never be good enough
You make me wanna die
And everything you love
Will burn up in the light
Every time I look inside your eyes (I'm burning in the light)
You make me wanna die

[Bridge]
I would die for you, my love, my love
I would lie for you, my love, my love (Make me wanna die)
And I would steal for you, my love, my love (Make me wanna die)
I would die for you, my love, my love

[Outro]
We'll burn up in the light
Every time I look inside your eyes (I'm burning in the light)
Look inside your eyes (I'm burning in the light)
I look inside your eyes
You make me wanna die

"
7,Welcome to the Family,Nightmare,Avenged Sevenfold,2010-07-23,245573,64,"

[Verse 1]
Hey kid (Hey kid)
Do I have your attention?
I know the way you've been living
Life so reckless, tragedy endless
Welcome to the family
Hey, there's something missing
Only time will alter your vision
Never in question, lethal injection
Welcome to the family

[Pre-Chorus 1]
Not long ago you'd find the answers were so crystal clear
Within a day you find yourself living in constant fear
Can you look at yourself now?
Can you look at yourself?
You can't win this fight

[Chorus]
And in a way it seems there's no one to call
When our thoughts are so numb and our feelings unsure
We all have emptiness inside
We all have answers to find
But you can't win this fight

[Verse 2]
Hey (Hey kid)
I have to question
What's with the violent aggression?
Details blurry, lost him too early
Welcome to the family
Hey, why won't you listen?
Can't help the people you're missing
It's been done, a casualty re-run
Welcome to the family

[Pre-Chorus 2]
I try and help you with the things that can't be justified
I need to warn you that there is no way to rationalize
So have you figured it out now?
So have you figured it out?
You can't win this fight

[Chorus]
And in a way it seems there's no one to call
When our thoughts are so numb and our feelings unsure
We all have emptiness inside
We all have answers to find
But you can't win this fight

[Bridge]
Gunning for you and all mankind
I've lost my mind
Psychotic rabid dementia
I won't be fine

[Verse 3]
I see you're a king who's been dethroned
Cast out in a world you've never known
Stand down, place your weapons by your side
It's our war, in the end we'll surely lose but that's alright

[Pre-Chorus 3]
So have you figured it out now?
So have you figured it out?

[Chorus]
And in a way it seems there's no one to call
When our thoughts are so numb and our feelings unsure
We all have emptiness inside
We all have answers to find
But you can't win this fight

[Outro]
Deep inside where nothing's fine
I've lost my mind
You're not invited
So step aside
I've lost my
Deep inside where nothing's fine
I've lost my mind
You're not invited
So step aside
I've lost my

"
8,Your Betrayal,Fever,Bullet For My Valentine,2010-04-20,291426,66,"

[Verse 1]
Am I going insane?
My blood is boiling inside of my veins
An evil feeling attacks (attacks)
My body's shaking, there's no turning back
Don't take your eyes off the trigger!
I'm not to blame if your world turns to black
As your eyes start to blister!
There's just no hope for our final embrace

[Pre-Chorus]
So here we are
I'm in your head
I'm in your heart!

[Chorus]
You were told to run away
Soak the place, and light the flame
Pay the price for your betrayal
Your betrayal, your betrayal!
I was told to stay away
Those two words I can't obey
Pay the price for your betrayal
Your betrayal, your betrayal!

[Verse 2]
Is it my turn to die?
My heart is pounding as I say goodbye
So now I dance in the flames
I love you crying and screaming my name
You said that we'd be forever!
How could you kill me and lie to my face?
Now that we can't be together!
There's just no hope for our final embrace

[Pre-Chorus]
So here we are
I'm in your head
I'm in your heart!

[Chorus]
You were told to run away
Soak the place, and light the flame
Pay the price for your betrayal
Your betrayal, your betrayal!
I was told to stay away (stay away)
Those two words I can't obey (can't obey)
Pay the price for your betrayal
Your betrayal, your betrayal!

[Bridge]
Go!
Ooh-ah-aah
Ooh-ah-aah
Ooh-ah-aah
Ooh-ah-aah

[Pre-Chorus]
So here we are (so here we are)
I'm in your head (I'm in your head)
I'm in your heart!

[Chorus]
You were told to to run away
Soak the place and light the flame
Pay the price for your betrayal
Your betrayal, your betrayal!
I was told to stay away (stay away)
Those two words I can't obey (can'y obey)
Pay the price for your betrayal
Your betrayal, your betrayal!

"
9,Waiting for the End,A Thousand Suns,Linkin Park,2010-09-10,231680,60,"

[Intro: Mike Shinoda]
Yeah, yo
This is not the end, this is not the beginning
Just a voice like a riot rocking every revision
But you listen to the tone and the violent rhythm
And though the words sound steady, something empty's within them
We say yeah, with fists flying up in the air
Like we're holding onto something that's invisible there
'Cause we're living at the mercy of the pain and the fear
Until we dead it, forget it, let it all disappear
Yeah

[Verse 1: Chester Bennington]
Waiting for the end to come
Wishing I had strength to stand
This is not what I had planned
It's out of my control

[Verse 2: Chester Bennington]
Flying at the speed of light
Thoughts were spinning in my head
So many things were left unsaid
It's hard to let you go

[Chorus: Chester Bennington]
I know what it takes to move on
I know how it feels to lie
All I want to do is trade this life for something new
Holding on to what I haven't got

[Verse 3: Chester Bennington]
Sitting in an empty room
Trying to forget the past
This was never meant to last
I wish it wasn't so

[Chorus: Chester Bennington]
I know what it takes to move on
I know how it feels to lie
All I want to do is trade this life for something new
Holding on to what I haven't got

[Bridge: Mike Shinoda]
Yeah, yeah
What was left when that fire was gone?
I thought it felt right, but that right was wrong
All caught up in the eye of the storm
And trying to figure out what it's like moving on
And I don't even know what kind of things I said
My mouth kept moving and my mind went dead
So, I'm picking up the pieces now, where to begin
The hardest part of ending is starting again

[Outro: (Chester Bennington) Mike Shinoda]
(All I want to do is trade this life for something new
Holding on to what I haven't got)

This is not the end, this is not the beginning
Just a voice like a riot, rocking every revision
(I'm holding on to what I haven't got)
But you listen to the tone and the violent rhythm
Though the words sound steady
Something empty's within them
We say yeah, with fists flying up in the air
Like we're holding onto something that's invisible there
(Holding on to what I haven't got)
'Cause we're living at the mercy of the pain and the fear
Until we get it, forget it, let it all disappear

"
