,name,album,artist,release date,length,popularity,lyrics
0,Don't Be Cruel,Elvis' Golden Records,Elvis Presley,1958-03-21,122893,60,"

[Verse 1]
You know I can be found
Sitting home all alone
If you can't come around
At least please telephone
Don't be cruel to a heart that's true

[Verse 2]
Baby, if I made you mad
For something I might have said
Please, let's forget the past
The future looks bright ahead
Don't be cruel to a heart that's true
I don't want no other love
Baby, it's just you I'm thinking of

[Verse 3]
Don't stop thinking of me
Don't make me feel this way
C'mon over here and love me
You know what I want you to say
Don't be cruel to a heart that's true
Why should we be apart?
I really love you, baby, cross my heart

[Verse 4]
Let's walk up to the preacher
And let us say ""I do""
Then you'll know you'll have me
And I'll know that I'll have you
Don't be cruel to a heart that's true
I don't want no other love
Baby, it's just you I'm thinking of

[Verse 5]
Don't be cruel to a heart that's true
Don't be cruel to a heart that's true
I don't want no other love
Baby, it's just you I'm thinking of

"
1,Smoke Gets In Your Eyes,The Best Of The Platters,The Platters,1995-01-01,157293,0,"

They asked me how I knew
My true love was true
I of course replied, something here inside
Cannot be denied

They said some day you'll find
All who love are blind
When your heart's on fire, you must realize
Smoke gets in your eyes

So I chaffed them and I gaily laughed
To think they could doubt my love
Yet today my love has flown away
I am without my love
(Without my love)

Now laughing friends deride
Tears I cannot hide, hide
So I smile and say, when a lovely flame dies

Smoke gets in your eyes
(Smoke gets in your eyes)
(Smoke gets in your eyes)
Smoke gets in your eyes!

"
2,"What'd I Say, Pt. 1 & 2",What'd I Say,Ray Charles,1959,307053,62,"

[Verse 1]
Hey mama, don't you treat me wrong
Come and love your daddy all night long
All right now, hey hey, all right

See the girl with the diamond ring
She knows how to shake that thing
All right now now now, hey hey, hey hey

Tell your mama, tell your pa
I'm gonna send you back to Arkansas
Oh yes, ma'am, you don't do right, don't do right

Ah, play it, boy

When you see me in misery
Come on baby, see about me
Now yeah, hey hey, all right

See the girl with the red dress on
She can do the Birdland all night long
Yeah yeah, what'd I say? All right

[Chorus 1]
Well, tell me what'd I say, yeah
Tell me what'd I say right now
Tell me what'd I say
Tell me what'd I say right now
Tell me what'd I say
Tell me what'd I say

[Chorus 2]
And I want to know
Baby, I want to know right now
And I want to know
Baby, I want to know right now, yeah
And I want to know
Baby, I want to know, yeah

[Breakdown/Verse 2]
Hey, don't quit now! (Come on, honey)
Naw, I got, I uh-uh-uh, I'm (stop! stop! we'll do it again)
Wait a minute, wait a minute, oh hold it! Hold it! Hold it!
Hey (hey) ho (ho) hey (hey) ho (ho) hey (hey) ho (ho) hey
One more time (just one more time)

[Chorus 3]
Say it one more time right now (just one more time)
Say it one more time now (just one more time)
Say it one more time yeah (just one more time)
Say it one more time (just one more time)
Say it one more time (just one more time)

[Verse 3]
Hey (hey) ho (ho) hey (hey) ho (ho) hey (hey) ho (ho) hey
Ah! Make me feel so good (make me feel so good)
Make me feel so good now, yeah (make me feel so good)
Woah! Baby (make me feel so good)
Make me feel so good yeah (make me feel so good)
Make me feel so good (make me feel so good)
Make me feel so good yeah (make me feel so good)

[Chorus 4]
Ah it's all right (baby it's all right)
Said it's all right (baby it's all right)
Said it's all right (baby it's all right)
Said it's all right (baby it's all right)
Said it's all right (baby it's all right)
Said it's all right (baby it's all right)

[Chorus 5]
Woah! Shake that thing now (baby shake that thing)
Baby, shake that thing right now (baby shake that thing)
Baby, shake that thing (baby shake that thing)
Baby, shake that thing right now (baby shake that thing)
Baby, shake that thing (baby shake that thing)
Baby, shake that thing (baby shake that thing)

[Chorus 6]
Woah! I feel all right now yeah (make me feel all right)
I feel all right now yeah (make me feel all right)
Woah! (make me feel all right)
I feel all right (make me feel all right)
I feel all right (make me feel all right)
I feel all right (make me feel all right)

"
3,Dream A Little Dream Of Me,Ella & Friends,Ella Fitzgerald,1996-06-04,185066,0,"

[Verse 1: Ella Fitzgerald]
Stars shining bright above you
Night breezes seem to whisper, I love you
Birds singin' in the sycamore trees
Dream a little dream of me

[Verse 2: Ella Fitzgerald]
Say nighty-night and kiss me
Just hold me tight and tell me you'll miss me
While I'm alone and blue as can be
Dream a little dream of me

[Verse 3: Louis Armstrong]
Stars fading but I linger on dear
Still craving your kiss
Now I'm longin' to linger till dawn dear
Just saying this

[Verse 4: Ella Fitzgerald]
Sweet dreams till sunbeams find you
Sweet dreams that leave all worries behind you
But in your dreams whatever they be
Dream a little dream of me

[Verse 3: Both]
Stars fading but I linger on dear
Still craving your kiss
I'm longin' to linger till dawn dear
Just saying this

[Outro: Both]
Sweet dreams till sunbeams find you
Leave the worries behind you
But in your dreams, whatever may be
You've gotta make me a promise, promise to me
You'll dream, dream a little dream of me

"
4,That'll Be The Day,That'll Be The Day,Buddy Holly,1958-06-01,150133,63,"

[Chorus]
Well, that'll be the day, when you say goodbye
Yes, that'll be the day, when you make me cry
You say you're going to leave, you know it's a lie
Because that'll be the day when I die

[Verse 1]
Well, you give me all your lovin' and your turtle dovin'
All your hugs and kisses and your money too
Well, you know you love me baby
Until you tell me, maybe
That someday, well I'll be through

[Chorus]
Well, that'll be the day, when you say goodbye
Yes, that'll be the day, when you make me cry
You say you're going to leave, you know it's a lie
Because that'll be the day when I die
Well, that'll be the day, when you say goodbye
Yes, that'll be the day, when you make me cry
You say you're going to leave, you know it's a lie
Because that'll be the day when I die


[Verse 2]
Well, when Cupid shot his dart
He shot it at your heart
So if we ever part and I leave you
You sit and hold me and you tell me boldly
That someday, well I'll be blue

[Chorus]
Well, that'll be the day, when you say goodbye
Yes, that'll be the day, when you make me cry
You say you're going to leave, you know it's a lie
Because that'll be the day when I die

[Outro]
Well, that'll be the day, hoo-hoo
That'll be the day, hoo-hoo
That'll be the day, hoo-hoo
That'll be the day

"
5,Blueberry Hill,Fats Domino Swings,Fats Domino,1959-01-01,147880,60,"

[Verse 1]
I found my thrill on Blueberry Hill
On Blueberry Hill, when I found you

[Verse 2]
The moon stood still on Blueberry Hill
And lingered until my dream came true

[Bridge 1]
The wind in the willow played
Love's sweet melody
But all of those vows you made
Were never to be

[Verse 3]
Though we're apart, you're part of me still
For you were my thrill on Blueberry Hill

[Bridge 2]
The wind in the willow played
Love's sweet melody
But all of those vows you made
Were only to be

[Verse 4]
Though we're apart, you're part of me still
For you were my thrill on Blueberry Hill

"
6,Mack the Knife,That's All,Bobby Darin,1959,184333,60,"

Oh the shark, babe
Has such teeth, dear
And he shows them
Pearly white
Just a jackknife
Has old Macheath, babe
And he keeps it
Out of sight

You know when that shark bites
With his teeth, babe
Scarlet billows
Start to spread
Fancy gloves, though
Wears ol' Macheath, babe
So there's never, never a trace of red

Now, on the side walk, ooh Sunday morning, uh huh
Lies a body just oozing life. EEK!
And someone's sneaking round the corner
Could that someone be Mack the Knife?

There's a tugboat down by the river, don't you know
Where a cement bag's just a drooping on down
Oh that cement is just, it's there for the weight, dear
Five'll get ya ten, ol' Mackie's back in town

Now did ya hear 'bout Louie Miller?
He disappeared, babe
After drawing out all his hard earned cash
And now Macheath spends, just like a sailor
Could it be, our boy's done something rash?

Now, Jenny Diver, Suky Tawdry
Oh, Miss Lotte Lenya, and ol' Lucy Brown
Oh the line forms on the right, babe
Now that Mackie's back in town

I said, Jenny Diver, oh Suky Tawdry
Look out, Miss Lotte Lenya, and ol' Lucy Brown
Yes, that line forms on the right, babe
Now that Mackie's back in town
Look out ol' Mackie is back!

"
7,That's Amore,The Capitol Years,Dean Martin,1989-01-01,188266,52,"

[Intro: Choir]
(In Napoli where love is king)
(When boy meets girl)
(Here's what they say)

[Chorus: Dean Martin]
When the moon hits your eye
Like a big pizza pie, that's amore
When the world seems to shine
Like you've had too much wine, that's amore

[Bridge: Dean Martin]
Bells will ring, ting-a-ling-a-ling
Ting-a-ling-a-ling and you'll sing, ""Vita bella""
Hearts will play tippy-tippy-tay
Tippy-tippy-tay like a gay tarantella

[Verse: Dean Martin]
When the stars make you drool
Just like a pasta e fasule, that's amore
When you dance down the street
With a cloud at your feet, you're in love

When you walk in a dream
But you know, you're not dreaming, signore
Scusami, but you see
Back in old Napoli, that's amore

[Chorus: (Choir) & Dean Martin]
(When the moon hits your eye)
(Like a big pizza pie, that's amore) That's amore
(When the world seems to shine)
(Like you've had too much wine, that's amore) That's amore

[Bridge: (Choir) & Dean Martin]
(Bells will ring ting-a-ling-a-ling)
(Ting-a-ling-a-ling and you'll sing, ""Vita bella, vita bella, vita bella"")
(Hearts will play tippy-tippy-tay)
(Tippy-tippy-tay like a gay tarantella) Lucky fella

[Verse: Dean Martin & Choir]
When the stars make you drool
Just like a pasta e fasule, that's amore (That's amore)
When you dance down the street
With a cloud at your feet, you're in love

When you walk in a dream
But you know, you're not dreaming, signore
Scusami, but you see
Back in old Napoli, that's amore

[Outro: Dean Martin]
(Amore) That's amore

"
8,All I Have to Do Is Dream,Fabulous Fifties Nostalgia Vol 5,Various Artists,2011-12-05,141240,0,"

[Nicky]
Help the homeless!
Help the homeless!
Ooh! Hey Princeton!

Give me a quarter!
Here in my hat!
Come on, Princeton!
It's as easy as that!
Helping others brings you
Closer to God
So give me a quarter

[Princeton]
I don't have any change

[Nicky]
Hmmm... okay
Give me a dollar

[Princeton]
That's not what I meant

[Nicky]
Give me a five

[Princeton]
Are you kidding?

[Nicky]
The more you give
The more you get
That's being alive!
All I'm asking you
Is to do what
Jesus Christ would do
He'd give me a quarter
Why don't you?

[Princeton]
All right, all right, here you go

[Nicky]
Ahh, thanks!

[Princeton]
Take care
Whoa!

[Nicky]
What's the matter?

[Princeton]
I feel generous!
I feel compassionate!

[Nicky]
You do?

[Princeton]
Yeah! I feel like a new person—a good person!
Helping other people out makes you feel fantastic!

[Nicky]
That's what I've been trying to tell you—

[Princeton]
All this time I've been running around thinking
About me, me, me—and where has it gotten me!
I'm gonna do something for someone else!

[Nicky:]
Me?

[Princeton]
No—Kate! I'm going to raise the money to build that
Stupid Monster School she's always talking about!
Give me your money!

[Nicky]
What?

[Princeton]
I need it for Kate!

[Nicky]
I need it to eat!

[Princeton:]
Come on, Nicky!

[Nicky]
Aww, get lost!

[Princeton]
It'll make you feel great!

[Nicky]
So would a burger!

[Princeton]
When her dream comes true
It'll all be partly
Thanks to you
So give me your money!

[Nicky]
I'd like to, but I can't

[Princeton]
Give me your money!

[Nicky]
I'd like to, but I need it!

[Princeton]
Give me your money!

[Nicky]
I'd like to, but I'm homeless!
I can't! I need it! I'm homeless!
I can't! I need it! I'm homeless!
I can't! I need it! I'm homeless!
Okay, here you go

[Princeton]
Thank you!

[Nicky]
Suddenly
I am feeling
Closer to God
It's time to stop begging
It's time to start giving!
What can I give to Rod?
Something he'll like so much he'll take me back
Ooh, I know! I'll find him a boyfriend!

[Princeton]
That's the spirit!

[Both]
When you help others
You can't help helping yourself!
When you help others
You can't help helping yourself!

[Gary Coleman]
Hey boys, what's the hat for?

[Nicky]
Ooh, we're collecting money!

[Princeton]
It's for Kate! We're raising money to help build her dream school!
Give us your money!

[Nicky]
You'll be glad that you did!

[Gary Coleman]
That's just what my parents told me
When I was a kid
Shit

[Nicky]
But giving feels so great

[Gary Coleman]
And I bet it wouldn't hurt
Your chances with Kate

[Princeton]
Well, that too

[Gary Coleman]
I'll give you a dollar

[Princeton]
You're a gentleman
And a scholar

[Christmas Eve]
We so happy! We just exchange all your wedding gifts for cash!

[Brian]
Honey, don't tell them that!

[Christmas Eve]
We get about 2,000 bucks!

[Brian]
Uh, yeah, so—thanks, everybody!

[Christmas Eve]
We rich!

[Princeton]
Give us your money!

[Nicky]
Give us your money!

[Gary Coleman]
Give us your goddamn money!

[Princeton]
Give us the dough!

[Nicky/Gary Coleman]
Give us the dough!

[Princeton/Nicky/Gary Coleman]
We're raising money
For a Monster School
But we've got a ways to go

[Princeton]
Sounds like you've
Got money to burn

[Nicky]
And it's not like money
That you had to earn

[Princeton/Nicky/Gary Coleman]
So give us your money—

[Christmas Eve]
A monster school?

[Brian]
Sounds like a good cause

[Christmas Eve]
Give me your wallet

[Princeton]
Oh my gosh! I don't know how to thank you guys
I mean, Kate will be so grateful!
That kind of money is such a great start

[Gary Coleman]
Yeah, $15

[Princeton]
$15?

[Christmas Eve]
Every little bit help

[Nicky]
Looks like we're gonna have to ask more people!

[All]
Hey!
Give us your money!
All that you've got!
Just fork it on over

[Gary Coleman]
Or some puppets
Will get shot!

[Princeton]
Hey!

[All]
It's time to pass the hat

[Gary Coleman]
And there's nothing you can do 'bout that

[All]
So give us your money!
Give us your money!
Give us your money!
When you help others
You can't help helping yourself!
When you help others
You can't help helping yourself!
Every time you
Do good deeds
You're also serving
Your own needs
When you help others
You can't help helping yourself!
When you give
To a worthy cause
You'll feel as jolly
As Santa Claus
When you help others
You can't
Help
Helping yourself!

"
9,Johnny B. Goode,Berry Is On Top,Chuck Berry,1959-01-01,161560,0,"

[Verse 1]
Deep down in Louisiana close to New Orleans
Way back up in the woods among the evergreens
There stood a log cabin made of earth and wood
Where lived a country boy named Johnny B. Goode
Who never ever learned to read or write so well
But he could play a guitar just like a ringing a bell

[Chorus]
Go, go
Go Johnny go, go
Go Johnny go, go
Go Johnny go, go
Go Johnny go, go
Johnny B. Goode

[Verse 2]
He used to carry his guitar in a gunny sack
Go sit beneath the tree by the railroad track
Oh, the engineers would see him sitting in the shade
Strumming with the rhythm that the drivers made
People passing by they would stop and say
Oh my, but that little country boy could play

[Chorus]
Go, go
Go Johnny go, go
Go Johnny go, go
Go Johnny go, go
Go Johnny go, go
Johnny B. Goode

[Verse 3]
His mother told him ""Someday you will be a man
And you will be the leader of a big old band
Many people coming from miles around
To hear you play your music when the sun go down
Maybe someday your name will be in lights
Saying 'Johnny B. Goode Tonight'""

[Chorus]
Go, go
Go Johnny go
Go go go, Johnny go
Oh go go, Johnny go
Oh go go, Johnny go
Go, Johnny B. Goode

"
